id,nameFirst,nameLast,address,city,st,zip,creditCard,balance
1500,Janette,Delisle,3427 Ross Street,Belleville,IL,62220,MasterCard,12722.54
1501,Kendrick,Lasseter,2988 Blackwell Street,Fairbanks,AK,99701,Visa,19735.42
1502,Robin,Murray,4175 Myra Street,Providence,RI,02903,Visa,13218.78
1503,Elias,Diaz,4791 Fleming Street,Selma,AL,36703,Visa,8757.61
1504,Sharon,Lavelle,4200 Stonepot Road,Newark,NJ,07102,MasterCard,9201.12
1505,Edward,Gadbois,4468 Glen Street,Paducah,KY,42003,Discover,0.00
1506,Nicole,Randolph,3641 Fancher Drive,Dallas,TX,75219,Visa,12969.67
1507,Randall,Lamb,526 Ritter Avenue,Bloomfield Township,MI,48302,MasterCard,10036.44
1508,Rodney,Johnson,1572 Benedum Drive,Nyack,NY,10960,MasterCard,7367.58
1509,Phillip,Rogers,1242 Brookview Drive,Beaumont,TX,77701,Visa,0.00
1510,Anthony,Emerson,4015 John Calvin Drive,Schaumburg,IL,60173,MasterCard,8909.55
1511,Jane,Bennett,1688 Emeral Dreams Drive,Rockford,IL,61108,Visa,7057.67
1512,Kenneth,Wright,2360 Kovar Road,Worcester,MA,01608,Visa,3431.12
1513,Deborah,Wright,1687 Travis Street,Miami,FL,33131,Visa,12436.19
1514,Glenn,Beck,700 Redbud Drive,Brooklyn,NY,11206,Discover,0.00
1515,Ronald,Gailey,4337 Summit Park Avenue,Bloomfield Township,MI,48302,Visa,15400.67
1516,Theresa,Pfister,3269 Hewes Avenue,Linthicum Heights,MD,21090,MasterCard,0.00
1517,Bernard,Saunders,2716 Pine Tree Lane,Frederick,MD,21701,Discover,5262.95
1518,Marilyn,Thacker,2198 Parrill Court,South Bend,IN,46601,Discover,6961.55
1519,Manuel,Baumeister,434 Davis Place,Lima,OH,45801,MasterCard,5398.79
1520,Michael,Johnson,3410 Loving Acres Road,Fort Worth,TX,76102,Visa,4748.96
1521,Richard,Santos,3672 Skinner Hollow Road,Richland,OR,97870,Visa,1305.82
1522,Leo,Mcclay,3125 Weekley Street,San Antonio,TX,78205,Discover,3068.69
1523,Carrie,Thomas,1820 Wayside Lane,Hayward,CA,94545,MasterCard,0.00
1524,Victor,Beasley,4759 Kelly Drive,Wheeling,WV,26003,Discover,3338.69
1525,Christopher,Gore,2215 Golden Ridge Road,Rouse Point,NY,12979,MasterCard,4802.00
1526,Hong,Smith,4473 Timbercrest Road,Anchorage,AK,99502,MasterCard,8333.54
1527,Doris,Washington,652 Sycamore Road,Dufur,OR,97021,Discover,5148.12
1528,Richard,Miller,4814 Sigley Road,Everest,KS,66424,Visa,15376.70
1529,Kenneth,Sherer,3065 Cardinal Lane,Perry,IL,62362,Visa,12853.38
1530,Kory,Jackson,685 Cooks Mine Road,Taos,NM,87571,MasterCard,13927.94
1531,Tiffany,Oakley,4460 Sarah Drive,Deridder,LA,70634,Visa,3518.89
1532,Josefa,Ruffin,2738 Nuzum Court,Buffalo,NY,14214,Discover,0.00
1533,Sylvester,Schmidt,1582 Flinderation Road,Tinley Park,IL,60477,Discover,4536.17
1534,Willie,Branch,1873 Sherman Street,Salina,KS,67401,Visa,3887.93
1535,Bernard,Barlow,3676 Sharon Lane,Chaffee,MO,63740,Visa,15172.14
1536,Meredith,Foster,1656 Despard Street,Atlanta,GA,30303,Discover,0.00
1537,Tammy,Spafford,2073 Patton Lane,Tulsa,OK,74134,Visa,0.00
1538,Marla,Young,381 Glenview Drive,Corpus Christi,TX,78476,MasterCard,4420.47
1539,Derek,Speier,4861 Beechwood Drive,Aberdeen,MD,21001,Visa,4329.26
1540,Bob,Uselton,340 Spring Street,Champaign,IL,61820,MasterCard,7028.24
1541,Daniel,Hill,4448 Cottonwood Lane,Grand Rapids,MI,49503,Discover,4590.68
1542,Benita,Hogan,4257 Horizon Circle,Seattle,WA,98119,Discover,7667.07
1543,Virginia,Harris,2222 Upland Avenue,Leipsic,OH,45856,MasterCard,5732.57
1544,Crystal,Odoms,4514 Conifer Drive,Lynnwood,WA,98036,Discover,4135.30
1545,Louise,Flores,872 Parrish Avenue,Smithsons Valley,TX,78130,MasterCard,8843.16
1546,Scott,Talley,1481 Wood Street,Metairie,LA,70001,Discover,0.00
1547,Stephen,Hobbs,1405 Daylene Drive,Wayne,MI,48184,Discover,4633.42
1548,Lillian,Maxwell,1164 Woodland Terrace,Sacramento,CA,95814,MasterCard,0.00
1549,Michelle,Lewis,3115 Timber Ridge Road,Sacramento,CA,95814,Visa,0.00
1550,Norma,Isaacson,2589 Jones Street,Dallas,TX,75204,MasterCard,9271.94
1551,James,Alexander,2201 Lincoln Street,Camden,NJ,08102,Visa,5390.69
1552,James,Herrington,4114 Vesta Drive,Chicago,IL,60637,Visa,18305.42
1553,Jean,Bowlin,1316 Oakwood Circle,San Clemente,CA,92672,Visa,1934.80
1554,Robin,Bunch,1138 Centennial Farm Road,Hospers,IA,51238,MasterCard,7427.13
1555,Anita,Byrd,466 Orphan Road,Buffalo,NY,14202,MasterCard,8872.15
1556,Jessica,Johnson,4846 Melrose Street,Palouse,WA,99161,Visa,0.00
1557,Jorge,Degroot,3748 Private Lane,Albany,GA,31701,Discover,4691.60
1558,Alice,Anderson,400 Thrash Trail,Texarkana,TX,75501,MasterCard,8521.88
1559,Robert,Jemison,31 Fowler Avenue,Griffin,GA,30224,Visa,2641.35
1560,Ava,Rodriguez,2160 Thompson Street,Los Angeles,CA,90017,Discover,0.00
1561,Art,Price,1036 Rosewood Court,Owatonna,MN,55060,MasterCard,14427.04
1562,Louis,Stuart,2719 Powder House Road,West Palm Beach,FL,33401,MasterCard,6369.25
1563,Laura,Peterson,3066 Brown Bear Drive,Rancho California,CA,92390,Visa,4424.49
1564,Lisa,Lett,1627 Rafe Lane,Booneville,MS,38829,MasterCard,5355.99
1565,John,Stannard,2037 Nutter Street,Holt,MO,64048,MasterCard,0.00
1566,Margaret,Overton,4454 Poe Road,Rowland,SC,28383,MasterCard,5748.12
1567,William,Johnson,1399 Fairway Drive,Smith River,CA,95567,Visa,15747.26
1568,Charles,Hamilton,2879 Fidler Drive,Atascosa,TX,78002,MasterCard,4984.28
1569,Paul,Barker,1077 Cedar Street,Hardy,AR,72542,Discover,0.00
1570,Laurie,Miller,3547 Lightning Point Drive,Covington,TN,38019,Visa,0.00
1571,William,Schulz,672 Coventry Court,Baton Rouge,LA,70806,Visa,3035.41
1572,James,Rundle,2287 Upton Avenue,Brewer,ME,04412,MasterCard,0.00
1573,Maybell,Moore,172 Oakdale Avenue,Arcadia,FL,33821,Discover,2813.10
1574,Rhoda,Gaither,832 Feathers Hooves Drive,Setauket,NY,11783,Visa,1864.83
1575,Alison,Booker,3644 Sarah Drive,Lake Charles,LA,70601,Discover,9246.75
1576,Gene,Gold,2683 Horner Street,Demopolis,AL,36732,MasterCard,3588.86
1577,Robert,Cookson,3647 Saint Francis Way,Eagleville,PA,19403,MasterCard,7508.04
1578,Jessica,Hughes,125 Patterson Street,Houston,TX,77063,Visa,0.00
1579,Mike,Moore,3645 Broadcast Drive,Charlotte,NC,28208,Visa,9184.04
1580,Monica,Halpin,4008 Fancher Drive,Dallas,TX,75247,MasterCard,6603.88
1581,Paul,Barrett,1842 Chandler Drive,Joplin,MO,64801,MasterCard,0.00
1582,Arthur,Carlson,860 Wildrose Lane,Detroit,MI,48224,Visa,7167.41
1583,Jerry,Copley,4333 Chicago Avenue,Ash Mountain,CA,93262,Visa,3645.52
1584,Richard,Steele,4453 Bicetown Road,New York,NY,10013,Visa,2478.47
1585,Veta,Seay,2951 Rafe Lane,Jackson,MS,39201,Discover,7742.82
1586,Scott,Lewis,506 Tetrick Road,Avon Park,FL,33825,MasterCard,2697.00
1587,Kevin,Cline,4483 Eagle Street,Carbondale,IL,62901,Discover,0.00
1588,Nelson,Pooler,129 Camden Place,Myrtle Beach,SC,29579,Visa,7073.07
1589,Maria,Galvin,1777 Reppert Coal Road,Jackson,MS,39201,Visa,13836.60
1590,Andrew,Hafford,4089 Comfort Court,Madison,WI,53704,Visa,6104.83
1591,Kristopher,Gomez,3034 Johnny Lane,New Berlin,WI,53151,Visa,11822.15
1592,Austin,Langford,3084 Joyce Street,Rocky Mount,NC,27804,MasterCard,2703.19
1593,Michael,Cottrell,1859 Traders Alley,Kansas City,MO,64105,Visa,8718.52
1594,Marion,Alvarez,4583 Radford Street,Louisville,KY,40242,Visa,8202.95
1595,Donna,Crane,3792 Round Table Drive,Felicity,OH,45120,MasterCard,0.00
1596,Anna,Watts,2845 Levy Court,Westminster,MA,01473,Visa,0.00
1597,Claudia,Pauley,90 Woodridge Lane,Memphis,TN,38104,Visa,13620.69
1598,Evia,Dubin,3353 Driftwood Road,Santa Clara,CA,95054,Discover,5318.75
1599,Eugene,Boisvert,3234 Kennedy Court,Cambridge,MA,02141,MasterCard,11683.01
1600,Claudia,Lefebvre,1357 Court Street,Stlouis,MO,63101,MasterCard,0.00
1601,Dale,Messer,4116 Gorby Lane,Jackson,MS,39201,MasterCard,0.00
1602,Willie,Smith,804 Denver Avenue,Moreno Valley,CA,92553,Discover,0.00
1603,Peggy,Chaney,2563 West Drive,Chicago,IL,60601,Discover,7413.71
1604,Telma,Fleming,305 Heliport Loop,Elnora,IN,47529,Visa,5431.07
1605,Larry,Reyes,2276 Duff Avenue,West Burke,VT,05871,MasterCard,0.00
1606,Alvin,Dillon,3686 Kidd Avenue,Anchorage,AK,99501,Visa,4047.21
1607,Yvonne,Ivey,2047 Bel Meadow Drive,Colton,CA,92324,Visa,1171.50
1608,Jerry,Rogers,4824 Morningview Lane,New York,NY,10013,Discover,0.00
1609,Kimberley,Garcia,4189 Huntz Lane,Lunenburg,MA,01462,MasterCard,9966.23
1610,Paul,Bryant,4731 Kennedy Court,Westborough,MA,01581,Discover,2880.14
1611,Joy,Fleming,3006 Washington Street,Corpus Christi,TX,78476,MasterCard,10037.20
1612,Alice,Bird,3594 Davis Lane,Centennial,CO,80112,Visa,4677.60
1613,Mary,Maldonado,3198 Illinois Avenue,Oregon City,OR,97045,Visa,5957.35
1614,Beata,Kendall,3153 Par Drive,Carpinteria,CA,93013,MasterCard,4312.75
1615,David,Foley,589 Sarah Drive,Lafayette,LA,70506,Visa,10430.18
1616,Jean,Wilson,3014 Birch Street,Indianapolis,IN,46268,MasterCard,5655.14
1617,Melba,Henderson,729 Petunia Way,Birmingham,AL,35209,MasterCard,3836.66
1618,Glenn,Lane,2874 Hall Valley Drive,Beckley,WV,25801,Visa,1543.02
1619,David,George,1106 Washington Street,Corpus Christi,TX,78476,MasterCard,5204.52
1620,James,Cherry,1781 Hilltop Haven Drive,Jersey City,NJ,07305,MasterCard,2581.53
1621,Natasha,Martinez,3603 Hillside Street,Tempe,AZ,85281,Discover,0.00
1622,Priscilla,Hollman,3827 Coolidge Street,Billings,MT,59102,MasterCard,13664.40
1623,Jack,Lee,3037 Benson Street,Marengo,WI,54855,Visa,0.00
1624,Amanda,Allen,1551 Jehovah Drive,Staunton,VA,24401,Visa,2205.84
1625,Frank,Sanchez,4034 Summit Street,Clermont,IA,52135,MasterCard,2722.81
1626,Jeffrey,Moore,2688 Farnum Road,New York,NY,10019,Discover,7427.28
1627,James,Doyle,2824 Carriage Lane,Scranton,PA,18503,MasterCard,6931.58
1628,Mary,Boatman,4837 Hope Street,Beaverton,OR,97008,MasterCard,0.00
1629,William,Elliott,1036 August Lane,Alexandria,LA,71301,MasterCard,5187.36
1630,Kevin,Pritchett,4490 Kinney Street,Springfield,MA,01109,MasterCard,6480.73
1631,John,Gallardo,2 Red Dog Road,Charlotte,NC,28208,Discover,0.00
1632,Angela,Smith,1569 Poplar Street,Oak Park,IL,60300,MasterCard,9469.80
1633,Edwin,Taylor,3540 Adonais Way,Atlanta,GA,30318,Visa,6166.68
1634,John,Lacy,4343 Duke Lane,New Brunswick,NJ,08901,MasterCard,0.00
1635,Lawrence,Dominguez,4199 Michigan Avenue,Mars,PA,16046,Visa,0.00
1636,Lorrie,Lucero,321 Patterson Street,Houston,TX,77002,MasterCard,6606.82
1637,Nathaniel,Hernandez,4855 Turkey Pen Road,New York,NY,10019,Visa,11490.57
1638,Travis,Meaux,3093 Harvest Lane,Bakersfield,CA,93301,Discover,5562.56
1639,Mark,Green,3633 Willison Street,San Diego,CA,92123,Visa,1489.33
1640,Evelynn,Costales,294 Stratford Court,Garner,NC,27529,Visa,4590.58
1641,Ryan,Mendoza,1468 Goff Avenue,Three Rivers,MI,49093,Visa,1264.37
1642,Joseph,Howell,2961 Arlington Avenue,Maryville,TN,37801,MasterCard,9575.95
1643,Michael,Alvord,3674 Oak Street,Pulaski,NY,13142,MasterCard,15773.50
1644,Pamela,Black,4883 South Street,Big Canyon,TX,79848,MasterCard,8185.00
1645,James,Harrell,3753 Settlers Lane,New York,NY,10013,Visa,25797.00
1646,Cynthia,Silva,55 West Virginia Avenue,Albany,NY,12203,MasterCard,4966.05
1647,John,Rice,629 Daylene Drive,Southfield,MI,48075,Discover,3645.88
1648,Tiffani,Johnstone,3881 Melrose Street,Millwood,WA,99212,Visa,6541.65
1649,Jessica,Rogers,1222 Harper Street,Madisonville,KY,42431,Visa,0.00
1650,Richard,Taylor,3096 Ashford Drive,Fredericksburg,VA,22408,Discover,2228.99
1651,Vera,Hanson,4835 Deer Haven Drive,Greenville,SC,29609,Visa,15714.91
1652,Ruth,Dubois,716 Huntz Lane,Billerica,MA,01821,MasterCard,4214.40
1653,William,Sammons,1341 Lynn Avenue,Green Bay,WI,54303,Discover,0.00
1654,Eric,Burt,4256 Euclid Avenue,San Luis Obispo,CA,93401,MasterCard,5388.53
1655,Cynthia,Stanley,493 Richison Drive,Billings,MT,59101,Visa,16394.34
1656,Wanda,Nicholson,1279 Hilltop Haven Drive,Newark,NJ,07102,Visa,7672.22
1657,Mitchell,Hilliker,324 Saint Marys Avenue,Syracuse,NY,13202,MasterCard,2653.16
1658,Shane,Mixon,4636 Franklee Lane,Paoli,PA,19301,MasterCard,7450.46
1659,Jeffrey,Howard,3854 White Lane,Forsyth,GA,31029,Visa,11298.81
1660,Karen,Lantz,2842 Newton Street,Montevideo,MN,56265,Visa,13016.31
1661,Melisa,Terry,367 Pearcy Avenue,Milwaukee,WI,53217,Visa,7958.68
1662,Keith,Brown,3311 Traction Street,Abbeville,SC,29620,Visa,20879.15
1663,Jasmine,Howes,3870 Science Center Drive,Soda Springs,ID,83276,Visa,22203.98
1664,Etta,Meyer,4473 Traction Street,Piedmont,SC,29673,MasterCard,0.00
1665,Juanita,Brown,4494 Eastland Avenue,Jackson,MS,39201,Discover,0.00
1666,Cheryl,Yang,44 Patterson Road,Bronx,NY,10467,Visa,0.00
1667,Steve,Morrison,4249 Grey Fox Farm Road,Houston,TX,77038,MasterCard,8992.86
1668,James,Lee,4887 Station Street,Hayward,CA,94541,MasterCard,11194.35
1669,Charles,Baker,3076 Tecumsah Lane,Benton,LA,71006,MasterCard,7140.16
1670,Michael,Wallace,1226 Pine Garden Lane,Atlanta,GA,30339,Discover,5623.50
1671,Beverly,Gleason,2786 Commerce Boulevard,Lincoln,NE,68508,MasterCard,11889.29
1672,Betty,Proctor,447 Clifford Street,Oakland,CA,94609,MasterCard,1402.62
1673,Laurel,Cortes,906 Limer Street,Augusta,GA,30901,Visa,10372.31
1674,Rebecca,Drummond,3462 West Virginia Avenue,Chazy,NY,12921,MasterCard,7540.31
1675,Lauren,Calhoon,4575 Hidden Meadow Drive,Grace City,ND,58445,MasterCard,12713.96
1676,Robert,Lopez,4169 Stratford Court,Sanford,NC,27330,Visa,0.00
1677,Stanley,Elsea,3287 Briarhill Lane,Medina,OH,44256,Discover,9052.92
1678,Ellen,Boulanger,1538 Bastin Drive,Philadelphia,PA,19108,Visa,2390.64
1679,Brian,Fenton,868 Raintree Boulevard,Kokomo,IN,46901,Discover,0.00
1680,Carol,Markham,2670 Jehovah Drive,Front Royal,VA,22630,MasterCard,0.00
1681,Jane,Young,430 Stuart Street,Gibsonia,PA,15044,MasterCard,4994.72
1682,Dawn,Robb,3365 Fairfield Road,Kenosha,WI,53140,MasterCard,3350.65
1683,Maria,Wallace,1718 Olen Thomas Drive,Gainesville,TX,76240,Visa,14926.35
1684,Ruth,Palmer,2107 Levy Court,Worcester,MA,01610,MasterCard,4043.20
1685,Susan,Osborne,483 Cedar Street,Moro,AR,72368,MasterCard,6312.35
1686,Dawn,Cramer,207 Beeghley Street,Waco,TX,76706,Visa,10817.94
1687,William,Rivera,2232 Lincoln Drive,York,PA,17401,Visa,8381.67
1688,Lacey,Johnson,4094 Camden Place,Charleston,SC,29424,MasterCard,0.00
1689,Adelina,Spence,471 Rocky Road,Philadelphia,PA,19141,Discover,0.00
1690,Troy,Korn,2243 Bond Street,Providence,RI,02908,Discover,0.00
1691,Thomas,Schiller,3429 Brooke Street,Houston,TX,77002,Discover,5921.63
1692,Dionna,Ebert,1184 Woodland Avenue,Bogalusa,LA,70427,Visa,13820.70
1693,Ernie,Herbert,3073 Cameron Road,Ellington,NY,14732,Visa,13727.55
1694,Kenneth,Grove,4073 Quilly Lane,Upper Arlington,OH,43221,Discover,1358.66
1695,Pamela,Wilson,1416 Chipmunk Lane,Hanover,ME,21076,Visa,3960.38
1696,Caryn,Garcia,1149 Calvin Street,Baltimore,MD,21201,MasterCard,8514.66
1697,Richard,Bruno,3251 Camel Back Road,Boley,OK,74829,Visa,9669.87
1698,Matt,Espinosa,1126 Smith Road,Marble Hill,GA,30151,Visa,5581.75
1699,Randal,Mcbride,425 Boggess Street,Denton,TX,76201,Discover,2262.28
1700,Marilyn,Park,2925 McVaney Road,Asheville,NC,28801,Visa,8707.50
1701,Addie,Cook,4382 Eagle Drive,Southfield,MI,48075,Visa,2229.19
1702,Petra,Olivares,2123 Briarhill Lane,Cuyahoga Falls,OH,44221,Discover,0.00
1703,Floyd,Hughes,364 Watson Lane,Hickory,NC,28601,MasterCard,4135.19
1704,William,Hines,4940 Haven Lane,Lansing,MI,48906,MasterCard,2419.08
1705,Arthur,Foster,2224 Burwell Heights Road,Beaumont,TX,77701,Visa,1146.10
1706,Jeffrey,Warren,2885 Henry Ford Avenue,Sapulpa,OK,74564,MasterCard,5881.90
1707,Edward,Chan,3761 Kemper Lane,Salt Lake City,UT,84104,MasterCard,16185.35
1708,Beth,Hawkes,2941 Keyser Ridge Road,Greensboro,NC,27406,MasterCard,12000.49
1709,Richard,Tincher,3279 Clover Drive,Colorado Springs,CO,80904,MasterCard,2762.59
1710,John,Campbell,4677 Still Street,Metamora,OH,43540,MasterCard,8195.23
1711,Benjamin,Funk,728 Buck Drive,Stowe,VT,05672,Visa,17146.98
1712,James,Pfeffer,2716 Front Street,Carsonville,MI,48419,Visa,1025.30
1713,Cynthia,Granado,3532 Village View Drive,Mount Airy,MD,21771,MasterCard,6273.88
1714,Brent,French,3376 George Street,Chiefland,FL,32626,Discover,4359.88
1715,Jose,Toohey,4014 Grant View Drive,Milwaukee,WI,53213,MasterCard,0.00
1716,Donald,Campbell,962 Willis Avenue,Port Orange,FL,32129,Discover,7272.67
1717,Leon,Abrams,205 Roane Avenue,Rockville,MD,20852,Visa,0.00
1718,Jolie,Kim,2446 Coleman Avenue,San Marcos,CA,92069,Discover,2908.85
1719,David,Davis,3771 Millbrook Road,Schaumburg,IL,60173,MasterCard,12946.38
1720,William,Bell,4181 Arlington Avenue,Camden,AR,71701,Discover,0.00
1721,Lawrence,Allen,1581 Bedford Street,Stamford,CT,06902,Visa,0.00
1722,Jennifer,Fritz,17 Mattson Street,Portland,OR,97229,Visa,11799.81
1723,Stella,Grant,3735 Ingram Road,Greensboro,NC,27401,Visa,10699.52
1724,Diann,Prom,3897 Woodland Terrace,Folsom,CA,95630,MasterCard,6217.02
1725,Heidi,Torres,2550 Joanne Lane,Shirley,MA,01464,MasterCard,12342.05
1726,Carla,Greene,2981 Meadowcrest Lane,Somerset,KY,42501,MasterCard,0.00
1727,Daniel,Garett,3692 Commerce Boulevard,Lincoln,NE,68501,MasterCard,6847.18
1728,Louise,Snyder,2708 Mulberry Street,Conroe,TX,77301,Visa,10653.63
1729,James,Vasser,512 Browning Lane,Madison,WI,53703,MasterCard,0.00
1730,Helen,Salcido,4305 Davisson Street,Boswell,IN,47921,Visa,0.00
1731,Tara,Lawrence,3173 Essex Court,Manchester,VT,05254,Visa,4355.63
1732,Sheri,Gregg,154 Old House Drive,Pataskala,OH,43062,Discover,5729.21
1733,Michelle,Wood,1726 Browning Lane,Madison,WI,53716,Discover,6308.93
1734,Helen,Reed,1393 Isaacs Creek Road,Mansfield,IL,61854,MasterCard,8729.64
1735,Jose,Jacobson,4208 Star Trek Drive,Pensacola,FL,32501,Visa,17810.06
1736,Jeannie,Willis,4305 Pinewood Drive,Buffalo Grove,IL,60089,Discover,1509.07
1737,Kelly,Conner,4873 McDowell Street,Nashville,TN,37210,MasterCard,0.00
1738,Miriam,Jacobs,4588 Cody Ridge Road,Arkansas City,OK,67005,Visa,10018.33
1739,Debra,Shultz,3310 Hide A Way Road,Santa Clara,CA,95054,Discover,5364.47
1740,Rodney,Anderson,1826 West Side Avenue,Rochelle Park,NJ,07662,Visa,14634.57
1741,Damien,Hale,3617 Fantages Way,West Gardiner,ME,04345,Discover,1531.66
1742,Lana,Miller,3541 Collins Street,Johnstown (cambria),PA,15903,MasterCard,0.00
1743,Richard,Brown,3331 Peck Street,Londonderry,NH,03053,Visa,3199.25
1744,Coy,Howard,3743 Wyatt Street,Boynton Beach,FL,33436,MasterCard,9528.51
1745,Kevin,Bunce,2295 Randolph Street,Cambridge,MA,02141,Visa,6007.23
1746,Drew,Miller,1737 Mutton Town Road,Oak Harbor,WA,98277,MasterCard,14952.42
1747,Arthur,Parsons,4517 Hiddenview Drive,Line Lexington,PA,18932,MasterCard,2011.41
1748,Abe,Prado,4357 Armory Road,Fayetteville,NC,28301,Visa,9541.62
1749,Carole,Ashcraft,2571 Fulton Street,Princeton,WV,24740,Visa,8905.11
1750,John,Wood,278 Snyder Avenue,Charlotte,NC,28202,Visa,1620.34
1751,Michelle,Sanchez,758 Koontz Lane,Burbank,CA,91504,Visa,6279.24
1752,Edgar,Herron,1887 Raccoon Run,Seattle,WA,98109,Discover,3028.79
1753,Raymond,Carter,3419 Clousson Road,Houston,TX,77002,MasterCard,0.00
1754,Timothy,Whitmore,2285 Clifford Street,San Jose,CA,95131,MasterCard,0.00
1755,Debra,Reed,1784 Abner Road,Barron,WI,54812,Discover,5425.06
1756,Robert,Cook,3440 Lynn Ogden Lane,Beaumont,TX,77708,Visa,8590.63
1757,Faustina,Salmons,2738 Breezewood Court,Parsons,KS,67357,Visa,9338.73
1758,Caroline,Cobb,1883 Huntz Lane,Marlboro,MA,01752,MasterCard,0.00
1759,Virginia,Ramirez,334 Private Lane,Montgomery,GA,36104,MasterCard,0.00
1760,Cheryl,House,442 Marie Street,Laurel,MD,20707,MasterCard,3878.76
1761,Cecilia,Bates,3134 North Bend River Road,Jenkins,KY,41537,MasterCard,0.00
1762,Elizabeth,Hatfield,2502 Isaacs Creek Road,New Canton,IL,62356,Discover,5289.51
1763,Krystal,Blount,4961 Todds Lane,San Antonio,TX,78225,MasterCard,1653.34
1764,Joan,Crow,511 Cost Avenue,Gaithersburg,MD,20877,MasterCard,9020.69
1765,Odell,Boyd,1175 Broaddus Avenue,Russellville,KY,42276,Discover,4752.35
1766,Nelson,Pickens,4257 Ward Road,El Paso,TX,79912,Discover,4184.66
1767,Thomas,Mann,1444 Briercliff Road,Rego Park Queens,NY,11734,MasterCard,1979.88
1768,Jesse,Dowdle,3006 Goodwin Avenue,Pullman,WA,99163,Visa,5013.10
1769,Craig,Officer,921 Winifred Way,Indianapolis,IN,46225,Discover,0.00
1770,Jesus,Dixon,3862 Winifred Way,Indianapolis,IN,46256,Visa,3162.10
1771,Henry,Koo,684 White River Way,Salt Lake City,UT,84116,Visa,19042.81
1772,Lino,Gomer,3891 Ethels Lane,Lakeland,FL,33813,MasterCard,2290.58
1773,Elizabeth,Martin,2364 Tetrick Road,Haines City,FL,33844,MasterCard,5141.16
1774,Alice,Hefner,4246 Virginia Street,Chicago,IL,60661,Visa,1577.03
1775,Carlos,Mcnamee,4609 Arbor Court,Cheyenne,WY,82001,Discover,2778.23
1776,Steve,Anderson,1493 Hardesty Street,Albany,NY,12206,Discover,3695.88
1777,Patsy,Burrell,2120 Stroop Hill Road,Duluth,GA,30097,Discover,1828.38
1778,Robert,Beebe,396 Briarwood Drive,Camden,NJ,08102,MasterCard,0.00
1779,Dominique,Ellis,1620 Highland View Drive,Sacramento,CA,95814,Discover,3501.74
1780,Rhonda,Hairston,1623 Canis Heights Drive,Los Angeles,CA,90007,Visa,1121.07
1781,Kate,Saenz,552 Powder House Road,West Palm Beach,FL,33417,MasterCard,0.00
1782,Georgetta,Baker,4206 Coburn Hollow Road,Washburn,IL,61570,Visa,13181.17
1783,Micheal,Kendrick,3209 Rockford Road,Reno,NV,89501,MasterCard,11304.71
1784,Sandra,Kelly,239 Tully Street,Detroit,MI,48219,Discover,0.00
1785,Sonia,Fields,2351 Hanover Street,New York,NY,10013,Visa,25788.95
1786,Frank,Gilliland,3047 Monroe Street,Houston,TX,77002,MasterCard,5767.45
1787,Bette,Ranger,1494 Frosty Lane,Endicott,NY,13760,Visa,0.00
1788,Gretchen,Ouellette,715 Kincheloe Road,Portland,OR,97229,Visa,8276.72
1789,Treva,Smith,4063 Park Avenue,Sacramento,CA,95817,Visa,1787.33
1790,Allison,Magno,2903 Elk Street,El Toro,CA,92630,Visa,6414.91
1791,Janeth,Calloway,3982 Wilmar Farm Road,Washington,MD,20004,Visa,18148.16
1792,Margaret,Strickland,4990 Prospect Street,Camden,NJ,08102,MasterCard,6051.13
1793,Luis,Mitchum,1005 Irving Place,Hillsboro,MO,63050,Visa,2435.08
1794,Glenn,Ownby,2037 Florence Street,Tyler,TX,75702,Visa,0.00
1795,Larry,Smith,2047 Cherry Ridge Drive,Warren,MI,48093,MasterCard,2080.67
1796,Karla,Takahashi,1932 Veltri Drive,Anchorage,AK,99501,Discover,3676.08
1797,Susan,Pogue,1080 Vineyard Drive,Garfield Heights,OH,44128,Visa,11105.00
1798,Lorie,Mitchell,3028 Saint Francis Way,Philadelphia,PA,19103,Visa,4370.31
1799,Douglas,Estes,2235 Park Avenue,Sacramento,CA,95814,Visa,0.00
1800,Pam,Moore,764 Austin Avenue,Savannah,GA,31405,Visa,6705.69
1801,George,Owens,108 Ashford Drive,Dale City,VA,22193,MasterCard,5942.02
1802,Jordon,Fritts,2671 Twin House Lane,Springfield,MO,65802,Visa,13577.01
1803,Mary,Langevin,2712 Thrash Trail,Hallsville,TX,75650,Visa,6993.04
1804,Margaret,Phillips,2851 Giraffe Hill Drive,Plano,TX,75074,MasterCard,1995.95
1805,Fred,Teague,2222 Quincy Street,Horsham,PA,19044,MasterCard,0.00
1806,Ginette,Parks,2652 Milford Street,Londonderry,NH,03053,MasterCard,2915.38
1807,Lara,Salazar,3924 Wilson Avenue,Dallas,TX,75240,Visa,4815.09
1808,Kurt,Jackson,3779 Norman Street,Long Beach,CA,90802,Visa,4826.16
1809,Joshua,Larkins,4475 Fincham Road,La Mesa,CA,91941,Visa,2761.42
1810,Mittie,Swarey,1445 Quilly Lane,Columbus,OH,43215,MasterCard,13240.35
1811,Lamont,Bagley,2414 Freed Drive,Stockton,CA,95202,MasterCard,7058.98
1812,Emmanuel,Holland,3287 Jehovah Drive,Woodstock,VA,22664,Visa,15804.03
1813,Karl,Pence,3886 Fairfield Road,Pewaukee,WI,53072,Visa,10294.68
1814,Robert,Mansfield,556 Honeysuckle Lane,Aberdeen,WA,98520,Discover,0.00
1815,Louie,Pickett,4423 Cheshire Road,New York,CT,10011,Visa,5531.58
